TournamentId,GameId,TournamentName,StartDate,EndDate,Location,TotalUSDPrize
33439,1,FACEIT Pro League NA 12/03 -19/03 2019 (CS:GO),12/03/2019,19/03/2019,Online,10000
33491,2,Apex Arena Weekly #5,17/03/2019,17/03/2019,Online,150
33389,12,CWL 2019 Fort Worth,15/03/2019,17/03/2019,"Fort Worth, TX",325000
33378,12,CWL 2019 Fort Worth (Open),15/03/2019,17/03/2019,"Fort Worth, TX",75000
33368,4,Final Round 2019 (Brawlhalla 1v1s),16/03/2019,17/03/2019,"Atlanta, USA",660
33387,4,Final Round 2019 (Brawlhalla 2v2s),15/03/2019,17/03/2019,"Atlanta, USA",200
33420,4,Final Round 2019 (Brawlhalla Doubles),15/03/2019,17/03/2019,"Atlanta, Georgia",10000
33419,4,Final Round 2019 (Brawlhalla Singles),16/03/2019,17/03/2019,"Atlanta, Georgia",10000
33366,14,Final Round 2019 (DBFZ),15/03/2019,17/03/2019,"Atlanta, USA",1460
33396,8,Final Round 2019 (SFV:AE),15/03/2019,17/03/2019,"Atlanta, USA",18270
33379,10,Final Round 2019 (SSBU Singles),16/03/2019,17/03/2019,"Atlanta, USA",1600
33397,9,Final Round 2019 (T7),15/03/2019,17/03/2019,"Atlanta, USA",2960
33434,1,Go4CS:GO EU #347,17/03/2019,17/03/2019,Online,113.27
